feature,mean_importance
COARSE_AGGREGATE,-2.2204460492503132e-17
FINE_AGGREGATE,0.006374907600045776
BLAST_FURNACE_SLAG,0.014440854768985201
WATER,0.0388191435187217
FLY_ASH,0.041507471755456236
SUPERPLASTICIZER,0.12355566787218579
CEMENT,0.2505060050818524
AGE,0.3113277760399339
