feature,weight
intercept,4.0843297097700124e-16
CEMENT,0.7899489860733714
BLAST_FURNACE_SLAG,0.5937530805666782
FLY_ASH,0.35152760199611843
WATER,-0.16632412822979986
SUPERPLASTICIZER,0.08524948912754428
COARSE_AGGREGATE,0.10872976936964711
FINE_AGGREGATE,0.1551354331570801
AGE,0.4692564464507011
