feature,mean_importance
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction_Tool_Wear_Failure,-0.001288252325562525
55_NeuralNetwork_prediction_No_Failure,-0.0009624833313088777
Process_Temperature,-0.0006839109538626362
Air_Temperature,-0.0005535133612424497
59_NeuralNetwork_prediction_Tool_Wear_Failure,-0.0005492423047129297
55_NeuralNetwork_prediction_Heat_Dissipation_Failure,-0.0005191863032941446
51_ExtraTrees_prediction_Power_Failure,-0.0004698071138596632
43_ExtraTrees_prediction_Overstrain_Failure,-0.00036684101132181677
61_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Power_Failure,-0.00036543793735459713
53_NeuralNetwork_prediction_Tool_Wear_Failure,-0.00035024446992770465
43_ExtraTrees_prediction_Heat_Dissipation_Failure,-0.0003356183535591667
28_CatBoost_prediction_Power_Failure,-0.00033137191627388707
44_ExtraTrees_prediction_Overstrain_Failure,-0.0003168075943632179
43_ExtraTrees_prediction_Power_Failure,-0.00030142215563160323
2_Default_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Power_Failure,-0.00029195873241049666
65_Xgboost_GoldenFeatures_prediction_Tool_Wear_Failure,-0.00028825962251843585
31_CatBoost_SelectedFeatures_prediction_Tool_Wear_Failure,-0.00026676226939028046
53_NeuralNetwork_prediction_No_Failure,-0.000244347684448791
4_Default_NeuralNetwork_prediction_Heat_Dissipation_Failure,-0.0002247350328671238
42_RandomForest_prediction_Heat_Dissipation_Failure,-0.00021876034037784375
27_CatBoost_prediction_No_Failure,-0.00021231366407524764
42_RandomForest_prediction_Power_Failure,-0.0002109743870625777
35_RandomForest_prediction_Power_Failure,-0.00018965473383641962
56_NeuralNetwork_prediction_Power_Failure,-0.0001868245443736885
56_NeuralNetwork_prediction_Heat_Dissipation_Failure,-0.0001803526990326182
53_NeuralNetwork_prediction_Heat_Dissipation_Failure,-0.0001621385650075066
60_NeuralNetwork_prediction_Tool_Wear_Failure,-0.00015933837999186073
41_RandomForest_prediction_No_Failure,-0.00015761023125518832
62_Xgboost_GoldenFeatures_SelectedFeatures_prediction_No_Failure,-0.00014647490531809887
54_NeuralNetwork_prediction_Tool_Wear_Failure,-0.00013989473142610593
37_RandomForest_prediction_Tool_Wear_Failure,-0.00013837901500403648
62_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Heat_Dissipation_Failure,-0.0001364249586727942
75_LightGBM_GoldenFeatures_prediction_Tool_Wear_Failure,-0.00012620642043012915
40_RandomForest_prediction_No_Failure,-0.0001158358535254228
49_ExtraTrees_prediction_Tool_Wear_Failure,-0.00010017651827146922
49_ExtraTrees_prediction_Overstrain_Failure,-9.795001523966868e-05
38_RandomForest_prediction_Heat_Dissipation_Failure,-9.324558052715981e-05
