feature,mean_importance
22_LightGBM_prediction_Heat_Dissipation_Failure,-0.0021002541061287184
61_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Heat_Dissipation_Failure,-0.002098663266341681
37_RandomForest_prediction_No_Failure,-0.0006918266156042338
60_NeuralNetwork_prediction_Tool_Wear_Failure,-0.0006851923335786936
41_RandomForest_prediction_Overstrain_Failure,-0.0006740774611871849
40_RandomForest_prediction_Power_Failure,-0.0006145394505958704
54_NeuralNetwork_prediction_No_Failure,-0.0005527931816154796
4_Default_NeuralNetwork_prediction_Tool_Wear_Failure,-0.0005331528358807208
18_LightGBM_prediction_Heat_Dissipation_Failure,-0.0005120301177054282
18_LightGBM_prediction_Overstrain_Failure,-0.00047945358912525186
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction_Heat_Dissipation_Failure,-0.00046682152357021417
6_Default_ExtraTrees_prediction_No_Failure,-0.00044331283865153696
48_ExtraTrees_prediction_Power_Failure,-0.0003963553959294319
56_NeuralNetwork_prediction_Overstrain_Failure,-0.00034753531433313336
58_NeuralNetwork_prediction_Overstrain_Failure,-0.00033681058636148844
6_Default_ExtraTrees_prediction_Tool_Wear_Failure,-0.0003351813201705675
59_NeuralNetwork_prediction_Tool_Wear_Failure,-0.0003096621521255352
72_Xgboost_GoldenFeatures_SelectedFeatures_prediction_No_Failure,-0.00030887192820089755
Type,-0.000305850284688175
33_CatBoost_prediction_No_Failure,-0.000301894640556348
76_LightGBM_GoldenFeatures_prediction_No_Failure,-0.000293521299236181
2_Default_Xgboost_categorical_mix_GoldenFeatures_prediction_No_Failure,-0.0002927692801588166
27_CatBoost_prediction_Tool_Wear_Failure,-0.0002927618940459023
5_Default_RandomForest_prediction_Tool_Wear_Failure,-0.0002664260780014499
48_ExtraTrees_prediction_Overstrain_Failure,-0.00026313040323999867
61_Xgboost_GoldenFeatures_SelectedFeatures_prediction_No_Failure,-0.00025310788711153107
44_ExtraTrees_prediction_Tool_Wear_Failure,-0.00024301980933083556
59_NeuralNetwork_prediction_Power_Failure,-0.0002371348724466954
2_Default_Xgboost_categorical_mix_GoldenFeatures_prediction_Tool_Wear_Failure,-0.0002239685067046804
60_NeuralNetwork_prediction_Overstrain_Failure,-0.00019983946680528913
31_CatBoost_SelectedFeatures_prediction_Overstrain_Failure,-0.00018102445088709202
4_Default_NeuralNetwork_prediction_Heat_Dissipation_Failure,-0.0001762506827227242
65_Xgboost_GoldenFeatures_prediction_Heat_Dissipation_Failure,-0.00016820033163973404
60_NeuralNetwork_prediction_Heat_Dissipation_Failure,-0.0001586111750264685
62_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Power_Failure,-0.00015648921836004941
2_Default_Xgboost_categorical_mix_GoldenFeatures_prediction_Overstrain_Failure,-0.0001550436054072929
32_CatBoost_prediction_Power_Failure,-0.000154688639221294
18_LightGBM_prediction_No_Failure,-0.00015167588227048696
44_ExtraTrees_prediction_No_Failure,-0.00012771346027539847
35_RandomForest_prediction_Tool_Wear_Failure,-0.00012145394452364455
31_CatBoost_SelectedFeatures_prediction_Tool_Wear_Failure,-0.00011399151788420297
57_NeuralNetwork_SelectedFeatures_prediction_Power_Failure,-0.00011284075748253241
Tool_Wear_ratio_Torque,-0.00011280476814594931
70_CatBoost_prediction_Heat_Dissipation_Failure,-0.00011236507796796719
56_NeuralNetwork_prediction_Heat_Dissipation_Failure,-0.00011206128065863741
45_ExtraTrees_prediction_Tool_Wear_Failure,-0.00010430141281155964
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction_No_Failure,-9.979749632483965e-05
40_RandomForest_prediction_Overstrain_Failure,-9.463402348311307e-05
39_RandomForest_SelectedFeatures_prediction_Heat_Dissipation_Failure,-9.057913329742484e-05
75_LightGBM_GoldenFeatures_prediction_Overstrain_Failure,-8.926447233620905e-05
42_RandomForest_prediction_Overstrain_Failure,-8.924061181121296e-05
6_Default_ExtraTrees_prediction_Power_Failure,-8.712131178377213e-05
44_ExtraTrees_prediction_Power_Failure,-8.557045046772016e-05
27_CatBoost_prediction_Power_Failure,-8.112755564191748e-05
38_RandomForest_prediction_No_Failure,-8.051294818674642e-05
75_LightGBM_GoldenFeatures_prediction_Heat_Dissipation_Failure,-7.974250579885351e-05
73_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Tool_Wear_Failure,-7.964992534190002e-05
5_Default_RandomForest_prediction_Overstrain_Failure,-7.22296323555624e-05
31_CatBoost_SelectedFeatures_prediction_Power_Failure,-7.106412022303276e-05
43_ExtraTrees_prediction_Overstrain_Failure,-6.973287840697506e-05
51_ExtraTrees_prediction_Overstrain_Failure,-6.703343431714859e-05
71_CatBoost_prediction_Overstrain_Failure,-6.586294561026357e-05
29_CatBoost_prediction_Overstrain_Failure,-6.518809041772683e-05
76_LightGBM_GoldenFeatures_prediction_Overstrain_Failure,-6.252851478935755e-05
48_ExtraTrees_prediction_Heat_Dissipation_Failure,-6.251939059086914e-05
33_CatBoost_prediction_Power_Failure,-6.0876013210832416e-05
35_RandomForest_prediction_Power_Failure,-5.98839334345333e-05
58_NeuralNetwork_prediction_Tool_Wear_Failure,-5.7758011383790556e-05
27_CatBoost_prediction_No_Failure,-5.7367667019252164e-05
55_NeuralNetwork_prediction_Overstrain_Failure,-5.6124392756638776e-05
40_RandomForest_prediction_Heat_Dissipation_Failure,-5.347965978563102e-05
Torque_diff_Tool_Wear,-4.771613282612552e-05
49_ExtraTrees_prediction_Power_Failure,-4.615132494242835e-05
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction_Overstrain_Failure,-4.4656990779368136e-05
50_ExtraTrees_prediction_Overstrain_Failure,-3.98759781245428e-05
54_NeuralNetwork_prediction_Tool_Wear_Failure,-3.847487062582089e-05
55_NeuralNetwork_prediction_Power_Failure,-3.749974099200165e-05
74_Xgboost_GoldenFeatures_prediction_Overstrain_Failure,-3.7175145319798264e-05
70_CatBoost_prediction_Power_Failure,-3.683762360658788e-05
37_RandomForest_prediction_Overstrain_Failure,-3.5958100154694085e-05
71_CatBoost_prediction_Heat_Dissipation_Failure,-2.8733709113204497e-05
45_ExtraTrees_prediction_Heat_Dissipation_Failure,-2.8498014891575885e-05
51_ExtraTrees_prediction_Heat_Dissipation_Failure,-2.6990892782122188e-05
59_NeuralNetwork_prediction_No_Failure,-2.612832457371539e-05
48_ExtraTrees_prediction_Tool_Wear_Failure,-2.6030061031864783e-05
Ensemble_prediction_Tool_Wear_Failure,-2.5815367229271856e-05
34_RandomForest_prediction_Overstrain_Failure,-2.4411854373361518e-05
38_RandomForest_prediction_Power_Failure,-2.4141720930080656e-05
28_CatBoost_prediction_Power_Failure,-1.8220682069333693e-05
54_NeuralNetwork_prediction_Power_Failure,-1.7047791447029337e-05
69_LightGBM_prediction_Tool_Wear_Failure,-1.6295023439612256e-05
74_Xgboost_GoldenFeatures_prediction_No_Failure,-1.6011014240843723e-05
43_ExtraTrees_prediction_Power_Failure,-1.553082517768145e-05
59_NeuralNetwork_prediction_Heat_Dissipation_Failure,-1.4047308479656073e-05
38_RandomForest_prediction_Heat_Dissipation_Failure,-1.3638760160072926e-05
78_CatBoost_SelectedFeatures_prediction_No_Failure,-1.270677206983567e-05
28_CatBoost_prediction_Heat_Dissipation_Failure,-1.2699311104248657e-05
72_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Overstrain_Failure,-1.2112308130168836e-05
53_NeuralNetwork_prediction_Power_Failure,-1.1609230133023674e-05
Torque_sum_Rotational_Speed,-9.635461980816995e-06
4_Default_NeuralNetwork_prediction_Power_Failure,-8.456418394628407e-06
75_LightGBM_GoldenFeatures_prediction_Tool_Wear_Failure,-7.61977667210062e-06
2_Default_Xgboost_GoldenFeatures_SelectedFeatures_prediction_No_Failure,-7.535703386478409e-06
62_Xgboost_GoldenFeatures_SelectedFeatures_prediction_No_Failure,-7.118501184129322e-06
71_CatBoost_prediction_Tool_Wear_Failure,-6.931782350286242e-06
49_ExtraTrees_prediction_Tool_Wear_Failure,-3.932983252480371e-06
