feature,mean_importance
40_RandomForest_prediction_Heat_Dissipation_Failure,-6.94500762816741e-06
18_LightGBM_prediction_Tool_Wear_Failure,-5.994075573047264e-06
45_ExtraTrees_prediction_Heat_Dissipation_Failure,-5.382968992842518e-06
2_Default_Xgboost_GoldenFeatures_prediction_Tool_Wear_Failure,-4.913052562095788e-06
70_CatBoost_prediction_No_Failure,-3.7096155362237315e-06
29_CatBoost_prediction_Heat_Dissipation_Failure,-2.5398946596755234e-06
32_CatBoost_prediction_Tool_Wear_Failure,-2.261346001833364e-06
Rotational_Speed,-2.0081786666695245e-06
31_CatBoost_SelectedFeatures_prediction_Heat_Dissipation_Failure,-1.4863205098455956e-06
2_Default_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Overstrain_Failure,-1.1250268241488893e-06
42_RandomForest_prediction_Power_Failure,-8.065005894924981e-07
76_LightGBM_GoldenFeatures_prediction_Tool_Wear_Failure,-4.1271791243469027e-07
49_ExtraTrees_prediction_No_Failure,-1.1869772432032688e-07
6_Default_ExtraTrees_prediction_Overstrain_Failure,0.0
6_Default_ExtraTrees_prediction_Power_Failure,0.0
46_ExtraTrees_prediction_No_Failure,0.0
72_Xgboost_GoldenFeatures_SelectedFeatures_prediction_No_Failure,0.0
6_Default_ExtraTrees_prediction_Heat_Dissipation_Failure,0.0
38_RandomForest_prediction_Power_Failure,0.0
38_RandomForest_prediction_Overstrain_Failure,0.0
51_ExtraTrees_prediction_Overstrain_Failure,0.0
72_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Heat_Dissipation_Failure,0.0
2_Default_Xgboost_GoldenFeatures_prediction_Heat_Dissipation_Failure,0.0
2_Default_Xgboost_GoldenFeatures_prediction_Power_Failure,0.0
2_Default_Xgboost_categorical_mix_GoldenFeatures_prediction_Heat_Dissipation_Failure,0.0
45_ExtraTrees_prediction_Overstrain_Failure,0.0
22_LightGBM_GoldenFeatures_prediction_Heat_Dissipation_Failure,0.0
75_LightGBM_GoldenFeatures_prediction_Overstrain_Failure,0.0
2_Default_Xgboost_categorical_mix_GoldenFeatures_prediction_Power_Failure,0.0
62_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Tool_Wear_Failure,0.0
31_CatBoost_prediction_Tool_Wear_Failure,0.0
71_CatBoost_prediction_Overstrain_Failure,0.0
71_CatBoost_prediction_Power_Failure,0.0
39_RandomForest_SelectedFeatures_prediction_Power_Failure,0.0
31_CatBoost_prediction_Overstrain_Failure,0.0
28_CatBoost_prediction_No_Failure,0.0
28_CatBoost_prediction_Overstrain_Failure,0.0
33_CatBoost_prediction_Tool_Wear_Failure,0.0
32_CatBoost_prediction_Overstrain_Failure,0.0
27_CatBoost_prediction_No_Failure,0.0
27_CatBoost_prediction_Overstrain_Failure,0.0
27_CatBoost_prediction_Power_Failure,0.0
45_ExtraTrees_prediction_Power_Failure,0.0
Torque_sum_Rotational_Speed,0.0
Rotational_Speed_ratio_Process_Temperature,0.0
39_RandomForest_prediction_No_Failure,0.0
39_RandomForest_prediction_Heat_Dissipation_Failure,0.0
31_CatBoost_prediction_No_Failure,0.0
31_CatBoost_prediction_Heat_Dissipation_Failure,0.0
31_CatBoost_prediction_Power_Failure,0.0
42_RandomForest_prediction_No_Failure,0.0
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction_Overstrain_Failure,0.0
67_LightGBM_GoldenFeatures_prediction_Tool_Wear_Failure,0.0
42_RandomForest_prediction_Tool_Wear_Failure,0.0
61_Xgboost_GoldenFeatures_SelectedFeatures_prediction_No_Failure,0.0
61_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Tool_Wear_Failure,0.0
40_RandomForest_prediction_Overstrain_Failure,0.0
22_LightGBM_GoldenFeatures_SelectedFeatures_prediction_Overstrain_Failure,0.0
22_LightGBM_GoldenFeatures_SelectedFeatures_prediction_Power_Failure,0.0
77_LightGBM_GoldenFeatures_SelectedFeatures_prediction_Heat_Dissipation_Failure,0.0
77_LightGBM_GoldenFeatures_SelectedFeatures_prediction_No_Failure,0.0
69_LightGBM_prediction_Overstrain_Failure,0.0
69_LightGBM_prediction_Power_Failure,0.0
69_LightGBM_prediction_Tool_Wear_Failure,0.0
22_LightGBM_GoldenFeatures_SelectedFeatures_prediction_No_Failure,0.0
69_LightGBM_prediction_No_Failure,0.0
22_LightGBM_GoldenFeatures_SelectedFeatures_prediction_Tool_Wear_Failure,0.0
18_LightGBM_prediction_Overstrain_Failure,0.0
39_RandomForest_SelectedFeatures_prediction_Heat_Dissipation_Failure,0.0
57_NeuralNetwork_prediction_Tool_Wear_Failure,0.0
57_NeuralNetwork_prediction_Power_Failure,0.0
57_NeuralNetwork_prediction_Overstrain_Failure,0.0
57_NeuralNetwork_prediction_No_Failure,0.0
57_NeuralNetwork_prediction_Heat_Dissipation_Failure,0.0
39_RandomForest_prediction_Tool_Wear_Failure,0.0
39_RandomForest_prediction_Power_Failure,0.0
39_RandomForest_prediction_Overstrain_Failure,0.0
73_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Overstrain_Failure,0.0
77_LightGBM_GoldenFeatures_SelectedFeatures_prediction_Tool_Wear_Failure,0.0
77_LightGBM_GoldenFeatures_SelectedFeatures_prediction_Power_Failure,0.0
49_ExtraTrees_prediction_Heat_Dissipation_Failure,0.0
22_LightGBM_GoldenFeatures_SelectedFeatures_prediction_Heat_Dissipation_Failure,0.0
77_LightGBM_GoldenFeatures_SelectedFeatures_prediction_Overstrain_Failure,0.0
22_LightGBM_GoldenFeatures_prediction_No_Failure,0.0
5_Default_RandomForest_prediction_No_Failure,0.0
22_LightGBM_GoldenFeatures_prediction_Tool_Wear_Failure,0.0
43_ExtraTrees_SelectedFeatures_prediction_Power_Failure,0.0
43_ExtraTrees_SelectedFeatures_prediction_Tool_Wear_Failure,0.0
41_RandomForest_prediction_Overstrain_Failure,0.0
43_ExtraTrees_SelectedFeatures_prediction_Overstrain_Failure,0.0
22_LightGBM_GoldenFeatures_prediction_Power_Failure,0.0
76_LightGBM_GoldenFeatures_prediction_Overstrain_Failure,0.0
67_LightGBM_GoldenFeatures_prediction_Heat_Dissipation_Failure,0.0
43_ExtraTrees_prediction_Heat_Dissipation_Failure,0.0
67_LightGBM_GoldenFeatures_prediction_No_Failure,0.0
67_LightGBM_GoldenFeatures_prediction_Overstrain_Failure,0.0
67_LightGBM_GoldenFeatures_prediction_Power_Failure,0.0
