feature,mean_importance
Dist_Cluster_0,-0.0007735051419977074
Dist_Cluster_6,0.0005968107042013282
FLY_ASH,0.004263139303094299
Dist_Cluster_2,0.005922364260049001
COARSE_AGGREGATE,0.007105807474373801
Dist_Cluster_4,0.011427200228368989
Dist_Cluster_3,0.01794765646171683
SUPERPLASTICIZER,0.019888372852400076
Dist_Cluster_1,0.021988751955389206
Dist_Cluster_7,0.026056210749724428
FINE_AGGREGATE,0.02796171867776125
Cluster,0.030055710276642684
Dist_Cluster_5,0.04678970292299862
BLAST_FURNACE_SLAG,0.06946190527740886
WATER,0.19457458935685754
CEMENT,0.2493789535916982
AGE,0.47940806335119585
